filename,path,contour_type,true_contour_quadrant,contrast,position,jitter,stimulus_id
C_BL_0_J040_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J040_001.png,C,BL,NA,0,40,1
C_BL_0_J040_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J040_002.png,C,BL,NA,0,40,2
C_BL_0_J040_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J040_003.png,C,BL,NA,0,40,3
C_BL_0_J040_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J040_004.png,C,BL,NA,0,40,4
C_BL_0_J040_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J040_005.png,C,BL,NA,0,40,5
C_BL_0_J050_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J050_000.png,C,BL,NA,0,50,0
C_BL_0_J050_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J050_001.png,C,BL,NA,0,50,1
C_BL_0_J050_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J050_002.png,C,BL,NA,0,50,2
C_BL_0_J050_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J050_003.png,C,BL,NA,0,50,3
C_BL_0_J050_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J050_004.png,C,BL,NA,0,50,4
C_BL_0_J050_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J050_005.png,C,BL,NA,0,50,5
straight_BL_0_J000_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J000_000.png,straight,BL,NA,0,0,0
straight_BL_0_J000_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J000_001.png,straight,BL,NA,0,0,1
straight_BL_0_J000_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J000_002.png,straight,BL,NA,0,0,2
straight_BL_0_J000_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J000_003.png,straight,BL,NA,0,0,3
straight_BL_0_J000_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J000_004.png,straight,BL,NA,0,0,4
straight_BL_0_J000_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J000_005.png,straight,BL,NA,0,0,5
straight_BL_0_J010_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J010_000.png,straight,BL,NA,0,10,0
straight_BL_0_J010_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J010_001.png,straight,BL,NA,0,10,1
straight_BL_0_J010_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J010_002.png,straight,BL,NA,0,10,2
straight_BL_0_J010_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J010_003.png,straight,BL,NA,0,10,3
straight_BL_0_J010_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J010_004.png,straight,BL,NA,0,10,4
straight_BL_0_J010_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J010_005.png,straight,BL,NA,0,10,5
straight_BL_0_J020_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J020_000.png,straight,BL,NA,0,20,0
straight_BL_0_J020_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J020_001.png,straight,BL,NA,0,20,1
straight_BL_0_J020_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J020_002.png,straight,BL,NA,0,20,2
straight_BL_0_J020_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J020_003.png,straight,BL,NA,0,20,3
straight_BL_0_J020_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J020_004.png,straight,BL,NA,0,20,4
straight_BL_0_J020_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J020_005.png,straight,BL,NA,0,20,5
straight_BL_0_J030_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J030_000.png,straight,BL,NA,0,30,0
straight_BL_0_J030_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J030_001.png,straight,BL,NA,0,30,1
straight_BL_0_J030_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J030_002.png,straight,BL,NA,0,30,2
straight_BL_0_J030_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J030_003.png,straight,BL,NA,0,30,3
straight_BL_0_J030_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J030_004.png,straight,BL,NA,0,30,4
straight_BL_0_J030_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J030_005.png,straight,BL,NA,0,30,5
straight_BL_0_J040_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J040_000.png,straight,BL,NA,0,40,0
straight_BL_0_J040_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J040_001.png,straight,BL,NA,0,40,1
straight_BL_0_J040_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J040_002.png,straight,BL,NA,0,40,2
straight_BL_0_J040_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J040_003.png,straight,BL,NA,0,40,3
straight_BL_0_J040_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J040_004.png,straight,BL,NA,0,40,4
straight_BL_0_J040_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J040_005.png,straight,BL,NA,0,40,5
straight_BL_0_J050_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J050_000.png,straight,BL,NA,0,50,0
straight_BL_0_J050_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J050_001.png,straight,BL,NA,0,50,1
straight_BL_0_J050_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J050_002.png,straight,BL,NA,0,50,2
straight_BL_0_J050_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J050_003.png,straight,BL,NA,0,50,3
straight_BL_0_J050_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J050_004.png,straight,BL,NA,0,50,4
straight_BL_0_J050_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J050_005.png,straight,BL,NA,0,50,5
