condition,use_bias,bias_strength,bias_mode,filename,path,contour_type,true_contour_quadrant,predicted_quadrant,matches_true_quadrant,contrast,position,jitter,stimulus_id,analysis_layer,score_channel_mode,use_abs_activation,enrichment_TL,enrichment_TR,enrichment_BL,enrichment_BR,highest_contour_enrichment,true_quadrant_enrichment
baseline,False,0.0,none,C_BL_0_J020_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J020_005.png,C,BL,BL,1,NA,0,20,5,h1_exc,all_channels,True,0.9779571744936479,0.8951454157288152,1.6291859628697807,0.9277522703678025,1.6291859628697807,1.6291859628697807
baseline,False,0.0,none,C_BL_0_J030_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J030_000.png,C,BL,BL,1,NA,0,30,0,h1_exc,all_channels,True,1.0109971315530102,0.9100772066878431,1.3864120554075585,0.9352259627768947,1.3864120554075585,1.3864120554075585
baseline,False,0.0,none,C_BL_0_J030_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J030_001.png,C,BL,BL,1,NA,0,30,1,h1_exc,all_channels,True,0.9832246686915941,0.9464506842705399,1.8159016390625473,0.9275121511665766,1.8159016390625473,1.8159016390625473
baseline,False,0.0,none,C_BL_0_J030_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J030_002.png,C,BL,BL,1,NA,0,30,2,h1_exc,all_channels,True,0.9670579048768191,0.8964003482105379,1.4196253845532447,0.8969346318193464,1.4196253845532447,1.4196253845532447
baseline,False,0.0,none,C_BL_0_J030_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J030_003.png,C,BL,BL,1,NA,0,30,3,h1_exc,all_channels,True,0.947825565503811,0.9282423179387164,1.4941370675259154,0.9250712625429186,1.4941370675259154,1.4941370675259154
baseline,False,0.0,none,C_BL_0_J030_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J030_004.png,C,BL,BL,1,NA,0,30,4,h1_exc,all_channels,True,0.9363553479077099,0.9076958083830102,1.474260103780125,0.9350728559555861,1.474260103780125,1.474260103780125
baseline,False,0.0,none,C_BL_0_J030_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J030_005.png,C,BL,BL,1,NA,0,30,5,h1_exc,all_channels,True,0.9854248093117499,0.8983444250745511,1.4605424179203665,0.9335061780955207,1.4605424179203665,1.4605424179203665
baseline,False,0.0,none,C_BL_0_J040_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J040_000.png,C,BL,BL,1,NA,0,40,0,h1_exc,all_channels,True,1.0066666599244058,0.9035094329897739,1.6070541032614576,0.9298106292432877,1.6070541032614576,1.6070541032614576
baseline,False,0.0,none,C_BL_0_J040_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J040_001.png,C,BL,BL,1,NA,0,40,1,h1_exc,all_channels,True,0.9930135477637915,0.9495883507280891,1.5969528983674535,0.932045772581819,1.5969528983674535,1.5969528983674535
baseline,False,0.0,none,C_BL_0_J040_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J040_002.png,C,BL,BL,1,NA,0,40,2,h1_exc,all_channels,True,0.9667241692678199,0.8964984820307468,1.4251982110963903,0.8986411352043615,1.4251982110963903,1.4251982110963903
baseline,False,0.0,none,C_BL_0_J040_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J040_003.png,C,BL,BL,1,NA,0,40,3,h1_exc,all_channels,True,0.9606520858149681,0.9346543078020801,1.0961360638528739,0.9347416991632881,1.0961360638528739,1.0961360638528739
baseline,False,0.0,none,C_BL_0_J040_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J040_004.png,C,BL,BL,1,NA,0,40,4,h1_exc,all_channels,True,0.9401057094588128,0.9110374294625874,1.2921213845607435,0.939485658202731,1.2921213845607435,1.2921213845607435
baseline,False,0.0,none,C_BL_0_J040_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J040_005.png,C,BL,BL,1,NA,0,40,5,h1_exc,all_channels,True,0.9897426443952947,0.9015105712979855,1.2823725918467104,0.9379528464003579,1.2823725918467104,1.2823725918467104
baseline,False,0.0,none,C_BL_0_J050_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J050_000.png,C,BL,BL,1,NA,0,50,0,h1_exc,all_channels,True,1.0122390435169113,0.9079410293223567,1.401522046660644,0.9336725099705011,1.401522046660644,1.401522046660644
baseline,False,0.0,none,C_BL_0_J050_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J050_001.png,C,BL,BL,1,NA,0,50,1,h1_exc,all_channels,True,0.996627613151272,0.9488835111241842,1.4144917199093645,0.930136774073437,1.4144917199093645,1.4144917199093645
baseline,False,0.0,none,C_BL_0_J050_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J050_002.png,C,BL,BL,1,NA,0,50,2,h1_exc,all_channels,True,0.9751111668369431,0.89825070280071,1.1192085985094986,0.9009827316241925,1.1192085985094986,1.1192085985094986
baseline,False,0.0,none,C_BL_0_J050_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J050_003.png,C,BL,BL,1,NA,0,50,3,h1_exc,all_channels,True,0.9572196251400531,0.9336111153517134,1.150416505712961,0.9339589705792899,1.150416505712961,1.150416505712961
baseline,False,0.0,none,C_BL_0_J050_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J050_004.png,C,BL,BL,1,NA,0,50,4,h1_exc,all_channels,True,0.9364495608714384,0.9091440655732227,1.4271541172022513,0.9371321020818769,1.4271541172022513,1.4271541172022513
baseline,False,0.0,none,C_BL_0_J050_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J050_005.png,C,BL,BL,1,NA,0,50,5,h1_exc,all_channels,True,0.989476525321233,0.900368903311287,1.3007248074661468,0.9358424476986331,1.3007248074661468,1.3007248074661468
baseline,False,0.0,none,straight_BL_0_J000_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J000_000.png,straight,BL,BL,1,NA,0,0,0,h1_exc,all_channels,True,0.9936155419371296,0.9163252472266152,1.7550323034619817,0.9099530763149289,1.7550323034619817,1.7550323034619817
baseline,False,0.0,none,straight_BL_0_J000_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J000_001.png,straight,BL,BL,1,NA,0,0,1,h1_exc,all_channels,True,1.0345536976567005,0.9006628887706224,1.9737581283987224,0.9039824205355139,1.9737581283987224,1.9737581283987224
baseline,False,0.0,none,straight_BL_0_J000_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J000_002.png,straight,BL,BL,1,NA,0,0,2,h1_exc,all_channels,True,1.0307008416595624,0.9201825573422292,1.6993429725491664,0.9181362906464576,1.6993429725491664,1.6993429725491664
baseline,False,0.0,none,straight_BL_0_J000_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J000_003.png,straight,BL,BL,1,NA,0,0,3,h1_exc,all_channels,True,1.0694248764848913,0.8567755315631966,1.6919706057228057,0.8972653370166234,1.6919706057228057,1.6919706057228057
baseline,False,0.0,none,straight_BL_0_J000_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J000_004.png,straight,BL,BL,1,NA,0,0,4,h1_exc,all_channels,True,1.0970940737139638,0.8704512888178983,1.821004428894167,0.8971414995448457,1.821004428894167,1.821004428894167
baseline,False,0.0,none,straight_BL_0_J000_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J000_005.png,straight,BL,BL,1,NA,0,0,5,h1_exc,all_channels,True,1.0501330856960278,0.8689948637256049,1.7682297783883925,0.9058969352562641,1.7682297783883925,1.7682297783883925
baseline,False,0.0,none,straight_BL_0_J010_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J010_000.png,straight,BL,BL,1,NA,0,10,0,h1_exc,all_channels,True,0.9960336315483163,0.9178961136979695,1.5778415045839556,0.9114002424032939,1.5778415045839556,1.5778415045839556
baseline,False,0.0,none,straight_BL_0_J010_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J010_001.png,straight,BL,BL,1,NA,0,10,1,h1_exc,all_channels,True,1.03741939625834,0.9030334499600592,1.8509691929499452,0.9046547843152999,1.8509691929499452,1.8509691929499452
baseline,False,0.0,none,straight_BL_0_J010_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J010_002.png,straight,BL,BL,1,NA,0,10,2,h1_exc,all_channels,True,1.0357780054501882,0.922642249293279,1.4790247875026952,0.9211067533944861,1.4790247875026952,1.4790247875026952
baseline,False,0.0,none,straight_BL_0_J010_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J010_003.png,straight,BL,BL,1,NA,0,10,3,h1_exc,all_channels,True,1.0750516149386415,0.8578806907938127,1.551012257468228,0.8986585572131993,1.551012257468228,1.551012257468228
baseline,False,0.0,none,straight_BL_0_J010_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J010_004.png,straight,BL,BL,1,NA,0,10,4,h1_exc,all_channels,True,1.101800576776255,0.8706348144438493,1.6885036859703133,0.8976955341812195,1.6885036859703133,1.6885036859703133
baseline,False,0.0,none,straight_BL_0_J010_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J010_005.png,straight,BL,BL,1,NA,0,10,5,h1_exc,all_channels,True,1.053950273710902,0.8698860451313633,1.64816282670987,0.9075071720764916,1.64816282670987,1.64816282670987
baseline,False,0.0,none,straight_BL_0_J020_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J020_000.png,straight,BL,BL,1,NA,0,20,0,h1_exc,all_channels,True,0.9974648722696107,0.9183842076628705,1.5338600342905513,0.9119247612194873,1.5338600342905513,1.5338600342905513
baseline,False,0.0,none,straight_BL_0_J020_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J020_001.png,straight,BL,BL,1,NA,0,20,1,h1_exc,all_channels,True,1.041012598472052,0.9045823799085958,1.738289450858803,0.9052001431248259,1.738289450858803,1.738289450858803
baseline,False,0.0,none,straight_BL_0_J020_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J020_002.png,straight,BL,BL,1,NA,0,20,2,h1_exc,all_channels,True,1.034899226453414,0.9221313182963885,1.535785704815453,0.9206715264054421,1.535785704815453,1.535785704815453
baseline,False,0.0,none,straight_BL_0_J020_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J020_003.png,straight,BL,BL,1,NA,0,20,3,h1_exc,all_channels,True,1.074735856466753,0.8577168564470351,1.5433633899571093,0.8986732777635442,1.5433633899571093,1.5433633899571093
baseline,False,0.0,none,straight_BL_0_J020_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J020_004.png,straight,BL,BL,1,NA,0,20,4,h1_exc,all_channels,True,1.1043865458512423,0.8707223426168568,1.6529550496904408,0.8974540985926447,1.6529550496904408,1.6529550496904408
baseline,False,0.0,none,straight_BL_0_J020_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J020_005.png,straight,BL,BL,1,NA,0,20,5,h1_exc,all_channels,True,1.059478765434722,0.8706520407668366,1.4493096833626935,0.9094866217919453,1.4493096833626935,1.4493096833626935
baseline,False,0.0,none,straight_BL_0_J030_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J030_000.png,straight,BL,BL,1,NA,0,30,0,h1_exc,all_channels,True,0.998636555459687,0.918945333128105,1.4845121153496403,0.9118587337352547,1.4845121153496403,1.4845121153496403
baseline,False,0.0,none,straight_BL_0_J030_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J030_001.png,straight,BL,BL,1,NA,0,30,1,h1_exc,all_channels,True,1.0497976030296108,0.9074776210530325,1.531167604004595,0.9075836736340661,1.531167604004595,1.531167604004595
baseline,False,0.0,none,straight_BL_0_J030_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J030_002.png,straight,BL,BL,1,NA,0,30,2,h1_exc,all_channels,True,1.0360918281247538,0.9226128841497389,1.4548199083399413,0.9209920095014433,1.4548199083399413,1.4548199083399413
baseline,False,0.0,none,straight_BL_0_J030_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J030_003.png,straight,BL,BL,1,NA,0,30,3,h1_exc,all_channels,True,1.0769400936005527,0.8580138189851374,1.4934749802776075,0.8990438098466641,1.4934749802776075,1.4934749802776075
baseline,False,0.0,none,straight_BL_0_J030_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J030_004.png,straight,BL,BL,1,NA,0,30,4,h1_exc,all_channels,True,1.1075250935444414,0.8715464099379123,1.55931801515624,0.897988212038469,1.55931801515624,1.55931801515624
baseline,False,0.0,none,straight_BL_0_J030_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J030_005.png,straight,BL,BL,1,NA,0,30,5,h1_exc,all_channels,True,1.0636332312940677,0.8707111607242596,1.3668888682347775,0.9103397688204209,1.3668888682347775,1.3668888682347775
baseline,False,0.0,none,straight_BL_0_J040_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J040_000.png,straight,BL,BL,1,NA,0,40,0,h1_exc,all_channels,True,0.9977365231470086,0.9184749523231287,1.6031781209212723,0.9117442813378506,1.6031781209212723,1.6031781209212723
baseline,False,0.0,none,straight_BL_0_J040_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J040_001.png,straight,BL,BL,1,NA,0,40,1,h1_exc,all_channels,True,1.052183938316702,0.9090389181983729,1.3556235143057505,0.9072848014502224,1.3556235143057505,1.3556235143057505
baseline,False,0.0,none,straight_BL_0_J040_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J040_002.png,straight,BL,BL,1,NA,0,40,2,h1_exc,all_channels,True,1.0387978180643058,0.9242441060099978,1.3990640204562663,0.9230976608558001,1.3990640204562663,1.3990640204562663
baseline,False,0.0,none,straight_BL_0_J040_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J040_003.png,straight,BL,BL,1,NA,0,40,3,h1_exc,all_channels,True,1.0852417242321677,0.859939939890858,1.3479925326894977,0.9009434437800811,1.3479925326894977,1.3479925326894977
baseline,False,0.0,none,straight_BL_0_J040_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J040_004.png,straight,BL,BL,1,NA,0,40,4,h1_exc,all_channels,True,1.123072879522033,0.8726638427721589,1.2735555954752202,0.8989052196927992,1.2735555954752202,1.2735555954752202
baseline,False,0.0,none,straight_BL_0_J040_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J040_005.png,straight,BL,BL,1,NA,0,40,5,h1_exc,all_channels,True,1.0635182150484739,0.8707889558645804,1.3458464088771067,0.9104343167613264,1.3458464088771067,1.3458464088771067
baseline,False,0.0,none,straight_BL_0_J050_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J050_000.png,straight,BL,BL,1,NA,0,50,0,h1_exc,all_channels,True,0.9998773938090635,0.9198188679312093,1.372189102782464,0.9126801475174913,1.372189102782464,1.372189102782464
baseline,False,0.0,none,straight_BL_0_J050_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J050_001.png,straight,BL,BL,1,NA,0,50,1,h1_exc,all_channels,True,1.0464359849920204,0.9069990749214112,1.448858846679108,0.906031365653459,1.448858846679108,1.448858846679108
baseline,False,0.0,none,straight_BL_0_J050_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J050_002.png,straight,BL,BL,1,NA,0,50,2,h1_exc,all_channels,True,1.0460893920631733,0.9273829672435684,1.1579746252150163,0.927209856512331,1.1579746252150163,1.1579746252150163
baseline,False,0.0,none,straight_BL_0_J050_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J050_003.png,straight,BL,BL,1,NA,0,50,3,h1_exc,all_channels,True,1.082954079776112,0.8585398683012422,1.3569144399540372,0.8999799979560166,1.3569144399540372,1.3569144399540372
baseline,False,0.0,none,straight_BL_0_J050_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J050_004.png,straight,BL,BL,1,NA,0,50,4,h1_exc,all_channels,True,1.1106151413322523,0.8707888225971198,1.4330675196671139,0.8970473397077547,1.4330675196671139,1.4330675196671139
baseline,False,0.0,none,straight_BL_0_J050_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/straight_BL_0_J050_005.png,straight,BL,BL,1,NA,0,50,5,h1_exc,all_channels,True,1.068862578375836,0.8708309894395891,1.170051975390155,0.9113323062480828,1.170051975390155,1.170051975390155
